model_version,event_group,window_days,horizon,n_days,n_event_name_days,mean_excess_spread_pct,median_excess_spread_pct,pct_of_days_positive,hit_rate_pct,overlap_adjusted_t,effective_independent_n,min_detectable_spread_pct,survivorship_biased,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,agreement,90,5,551,211083,-0.011588670160910553,0.01862645491517239,53.17604355716878,49.30732284932853,-0.3288218264069818,110.2,0.0986804215678445,True,2026-09-11T17:58:53.184035+00:00,0.7429201329746765,105,False,3,5.25
v0.5_expanded_universe,disclosure,5,5,548,63324,0.026373434910199927,0.027257961216331873,51.82481751824818,49.200240522533434,0.5190042800473664,109.6,0.14228325389112467,True,2026-09-11T17:58:53.686741+00:00,0.6048137988214584,105,False,3,5.25
v0.5_expanded_universe,disclosure,30,5,548,270187,-0.002066108579434839,0.03553510722530048,54.56204379562044,49.546876463778005,-0.060656650441918626,109.6,0.09537460410803655,True,2026-09-11T17:58:54.126166+00:00,0.9517441412925398,105,False,3,5.25
v0.5_expanded_universe,disclosure,90,5,548,526225,0.014717997365205671,0.004170523008262476,50.36496350364964,49.52982897670283,0.4306691595217995,109.6,0.09568921226756637,True,2026-09-11T17:58:54.558127+00:00,0.6675624840373416,105,False,3,5.25
v0.5_expanded_universe,earnings,5,5,537,50952,-0.11265568430392664,-0.09138832506622903,45.06517690875233,48.22103903281485,-1.0242982544296844,107.4,0.3079531910621336,True,2026-09-11T17:58:55.016543+00:00,0.30801758362229226,105,False,3,5.25
v0.5_expanded_universe,earnings,30,5,529,279113,-0.06095732315645866,-0.04011702935805885,46.880907372400756,48.97403594581681,-0.9295026346014063,105.8,0.18362562781898545,True,2026-09-11T17:58:55.498290+00:00,0.35476472110610424,105,False,3,5.25
v0.5_expanded_universe,earnings,90,5,512,722545,-0.14072813123284428,-0.12018470223597279,45.5078125,49.27794240990774,-1.7592462838784666,102.4,0.22398158294429302,True,2026-09-11T17:58:55.955991+00:00,0.08155200434238055,105,False,3,5.25
v0.5_expanded_universe,material,5,5,546,122931,0.01286108179615876,-0.006663740031601464,49.26739926739927,49.20531042299469,0.3098509698581385,109.2,0.11622048188434506,True,2026-09-11T17:58:56.426850+00:00,0.7572702605736108,105,False,3,5.25
v0.5_expanded_universe,material,30,5,529,473124,-0.020826487276249462,-0.01290084874593176,48.39319470699433,49.170997303709484,-0.47665849863693943,105.8,0.1223395041528781,True,2026-09-11T17:58:56.883763+00:00,0.6345976878094982,105,False,3,5.25
v0.5_expanded_universe,material,90,5,504,739145,-0.02963380985830137,-0.024449274203510764,49.404761904761905,49.39548821613235,-0.33827776240623303,100.8,0.2452856108927453,True,2026-09-11T17:58:57.342435+00:00,0.7358644812149956,105,False,3,5.25
